Precinct,Allen,Gies
A105,372,474
A107,158,223
A108,222,426
A111,201,347
A113,252,341
A114,179,288
A115,210,296
A118,111,165
A119,175,288
A121,282,293
A123,244,400
A124,176,366
A125,179,411
A126,199,314
A127,192,207
A128,149,289
A131,148,395
A135,178,269
A136,123,175
A140,327,383
A141,4,6
A143,4,2
J137,178,257
J138,57,77
J142,3,1
J143,23,31
J144,140,301
J145,191,306
J146,0,0
J154,0,0
K118,269,94
K119,174,246
K123,430,156
K126,150,85
K127,218,329
K128,145,229
K130,239,119
K131,240,133
K132,76,108
K137,97,35
K138,41,52
K139,0,0
K144,185,207
K145,267,325
K146,226,373
K147,275,423
K148,163,194
K151,0,0
M149,187,170
M167,0,0
M173,279,209
O105,405,238
O107,381,368
O109,409,236
O111,256,219
O112,171,192
O113,176,209
O114,173,321
O115,219,401
O117,314,250
O119,338,183
O121,271,195
O123,175,155
O124,158,197
O126,254,173
O127,229,205
O128,219,295
O129,276,460
O130,149,288
O131,185,218
O133,179,428
O134,200,412
O135,224,240
O136,188,261
O137,234,423
O138,80,143
O139,7,21
O141,0,0
O142,135,187
O143,3,14
