Precinct,Daniels
AB,985
A172,226
C102,152
C114,294
C121,158
C125,312
C132,325
C143,246
C144,319
C148,241
C151,191
C152,384
C160,191
C163,280
C164,344
C165,349
C167,332
C173,365
C174,334
C175,352
C176,342
C177,340
C178,242
C179,286
C180,448
C182,310
C184,95
C187,297
C192,330
C193,223
C194,311
C195,312
C196,272
C197,177
C198,247
C199,242
C200,344
C201,192
C203,368
C205,306
C208,258
C209,364
C210,373
C211,258
C212,326
C213,198
C217,358
C218,311
C219,238
C221,295
C222,209
C223,356
C224,438
C225,303
C226,207
C227,358
C228,313
C229,177
C230,255
C231,310
C232,323
C233,304
C235,219
C236,225
C237,319
C238,362
C239,568
