Precinct,Acree,VanMeter
AB,1507,4008
A101,64,200
A102,110,232
A103,76,248
A104,39,157
A106,57,129
A108,40,134
A109,81,202
A111,65,223
A113,85,232
A114,97,172
A115,83,211
A116,94,241
A117,117,285
A118,76,243
A120,34,116
A121,85,174
A123,123,227
A126,66,180
A128,115,342
A130,46,159
A131,90,162
A132,109,262
A133,62,185
A134,48,138
A135,66,201
A136,118,271
A138,180,336
A139,103,253
A140,71,174
A143,56,173
A144,84,210
A145,121,275
A146,132,261
A148,103,241
A149,60,171
A150,105,224
A151,73,205
A152,136,357
A155,85,197
A156,60,174
A157,145,327
A158,128,294
A161,121,230
A162,30,68
A163,93,178
A164,43,142
A165,44,165
A166,88,321
A167,73,216
A168,82,288
A169,76,228
A170,51,142
A171,72,275
A172,69,205
A173,121,180
A174,35,99
A175,38,85
A176,86,269
A177,59,156
A178,43,109
A179,59,156
A180,101,179
A181,102,256
A182,100,313
A183,90,235
A184,52,110
A185,143,223
A187,154,425
A188,93,267
A189,62,193
A190,97,277
A191,168,464
A192,100,305
A193,186,264
A194,99,248
A195,80,231
A196,90,209
A197,89,291
A198,66,213
A199,92,224
A200,171,404
A201,100,214
A203,0,3
A204,82,166
B101,71,296
B102,134,332
B103,62,237
B104,92,254
B105,89,241
B106,97,253
B108,92,212
B110,96,252
B111,90,177
B112,82,248
B113,142,323
B114,76,223
B117,116,342
B118,121,231
B119,72,162
B120,74,173
B121,85,224
B123,75,333
B125,113,299
B127,97,309
B128,76,235
B129,76,224
B130,112,381
B132,95,181
B133,101,218
B135,151,299
B137,99,304
B138,124,268
B139,77,318
B140,94,267
B141,116,297
B142,62,197
B143,98,269
B146,112,273
B147,147,250
B150,111,260
B151,74,233
B152,93,375
B154,82,252
B155,109,275
B156,110,325
B157,89,171
B158,110,204
B159,96,272
B163,129,339
B164,69,208
B165,146,297
B166,86,306
B167,58,196
B168,123,252
B169,63,209
B170,64,217
B172,68,211
B174,57,160
B179,131,391
B181,156,400
B182,29,182
B183,70,229
B184,107,324
B185,134,384
B186,90,318
B187,92,310
B188,93,348
B189,105,230
B190,112,272
B191,76,257
B192,97,361
B195,121,279
B196,113,237
B197,85,188
B198,94,352
B199,99,279
B200,76,214
B201,83,253
B202,117,326
B203,105,335
B204,80,204
B205,132,393
B206,97,289
B207,122,300
B208,96,261
B209,91,314
B210,133,343
B211,119,261
B212,98,298
B213,60,151
B215,96,320
B216,99,308
B217,51,136
B218,110,285
B219,91,266
B221,95,259
B222,115,266
B223,115,269
B224,124,395
B225,124,277
B226,96,282
B227,100,262
B228,27,159
B229,94,239
B230,69,58
B231,157,445
B232,128,319
C102,52,115
C103,115,348
C105,171,257
C109,41,213
C113,134,359
C114,99,236
C115,97,137
C118,87,264
C120,120,321
C121,54,108
C124,112,335
C125,89,348
C126,87,263
C127,91,253
C128,140,226
C129,59,165
C130,70,270
C132,101,269
C137,76,255
C138,129,317
C140,174,384
C142,162,391
C143,77,185
C144,108,220
C148,73,197
C150,67,175
C151,68,135
C152,104,410
C153,70,214
C154,53,207
C155,46,158
C156,113,252
C157,99,203
C159,57,179
C160,61,192
C161,66,218
C162,123,243
C163,69,275
C164,102,325
C165,124,240
C167,102,253
C170,82,154
C171,92,206
C173,125,313
C174,100,273
C175,107,279
C176,126,294
C177,97,281
C178,66,257
C179,94,210
C180,110,430
C182,93,281
C183,79,130
C184,29,81
C185,16,107
C186,121,270
C187,84,283
C188,77,177
C189,89,208
C190,120,300
C191,114,322
C192,87,295
C193,55,206
C194,97,290
C195,104,244
C196,97,205
C197,68,144
C198,84,181
C199,70,228
C200,88,298
C201,52,184
C203,113,327
C205,97,257
C207,94,338
C208,88,239
C209,111,294
C210,107,315
C211,66,238
C212,128,232
C213,57,168
C215,55,225
C216,50,160
C217,88,288
C218,88,270
C219,76,186
C220,61,163
C221,80,253
C222,66,164
C223,98,345
C224,122,384
C225,81,318
C226,57,156
C227,115,283
C228,87,255
C229,55,169
C230,89,207
C231,70,292
C232,83,282
C233,83,272
C235,59,177
C236,51,186
C237,105,249
C238,124,283
C239,152,453
