Precinct,Barr,Kemper
AB,3667,3826
A101,183,157
A102,207,247
A103,256,163
A104,176,81
A106,98,157
A108,139,72
A109,31,433
A111,150,271
A113,201,224
A114,139,231
A115,38,494
A116,214,214
A117,119,371
A118,212,211
A120,20,248
A121,123,217
A123,223,233
A126,71,308
A128,250,316
A130,26,283
A131,147,197
A132,197,277
A133,86,297
A134,54,208
A135,118,335
A136,237,256
A138,366,296
A139,242,223
A140,168,208
A143,85,232
A144,67,417
A145,251,247
A146,182,326
A148,85,421
A149,57,270
A150,69,416
A151,185,185
A152,236,404
A155,62,445
A156,143,168
A157,345,237
A158,402,128
A161,85,410
A162,32,106
A163,104,271
A164,46,260
A165,148,118
A166,331,213
A167,206,173
A168,183,353
A169,157,249
A170,123,159
A171,253,216
A172,157,223
A173,173,247
A174,80,128
A175,98,64
A176,285,151
A177,92,204
A178,104,115
A179,17,287
A180,184,174
A181,245,262
A182,358,157
A183,196,224
A184,90,124
A185,187,276
A187,361,379
A188,298,172
A189,194,122
A190,270,203
A191,413,408
A192,276,225
A193,377,202
A194,215,227
A195,220,181
A196,177,203
A197,229,238
A198,175,189
A199,180,239
A200,309,416
A201,185,216
A203,0,3
A204,141,187
B101,293,172
B102,258,325
B103,240,168
B104,212,199
B105,200,221
B106,274,205
B108,193,204
B110,208,220
B111,116,289
B112,181,196
B113,176,400
B114,215,189
B117,371,219
B118,217,247
B119,133,169
B120,169,116
B121,182,219
B123,344,131
B125,218,259
B127,272,237
B128,185,177
B129,239,144
B130,379,271
B132,132,243
B133,170,258
B135,232,327
B137,251,236
B138,180,289
B139,325,147
B140,223,255
B141,276,226
B142,189,144
B143,238,249
B146,280,237
B147,231,257
B150,291,165
B151,184,174
B152,358,176
B154,251,159
B155,205,296
B156,340,203
B157,155,180
B158,185,250
B159,281,201
B163,361,227
B164,199,165
B165,264,304
B166,265,175
B167,184,121
B168,218,239
B169,200,147
B170,219,158
B172,197,147
B174,65,246
B179,379,264
B181,395,290
B182,145,101
B183,217,174
B184,323,205
B185,450,197
B186,341,159
B187,344,160
B188,316,198
B189,185,256
B190,180,329
B191,250,172
B192,376,194
B195,190,322
B196,217,209
B197,174,215
B198,403,182
B199,276,192
B200,235,146
B201,322,115
B202,336,229
B203,390,175
B204,227,124
B205,448,206
B206,351,171
B207,322,235
B208,312,123
B209,356,165
B210,358,288
B211,223,285
B212,319,208
B213,181,119
B215,367,146
B216,319,181
B217,166,79
B218,337,175
B219,283,160
B221,299,145
B222,308,201
B223,325,183
B224,459,218
B225,305,216
B226,300,168
B227,284,184
B228,141,77
B229,188,233
B230,69,97
B231,476,337
B232,378,215
C102,118,117
C103,203,335
C105,164,421
C109,237,135
C113,255,308
C114,271,184
C115,89,218
C118,252,188
C120,249,274
C121,77,144
C124,211,319
C125,391,180
C126,191,227
C127,221,237
C128,153,306
C129,147,126
C130,207,175
C132,183,299
C137,265,174
C138,168,382
C140,172,518
C142,216,463
C143,145,262
C144,126,336
C148,151,214
C150,121,221
C151,121,158
C152,437,182
C153,200,175
C154,228,106
C155,159,138
C156,215,256
C157,135,265
C159,146,188
C160,226,80
C161,166,187
C162,177,320
C163,324,111
C164,344,259
C165,193,317
C167,218,317
C170,130,193
C171,177,218
C173,340,219
C174,239,267
C175,259,234
C176,314,237
C177,272,282
C178,247,134
C179,195,214
C180,480,209
C182,291,191
C183,88,190
C184,79,73
C185,112,46
C186,214,286
C187,340,130
C188,175,184
C189,126,277
C190,288,243
C191,251,327
C192,326,153
C193,233,89
C194,321,188
C195,235,216
C196,196,211
C197,141,140
C198,147,193
C199,241,137
C200,344,174
C201,211,105
C203,349,209
C205,226,237
C207,239,328
C208,310,101
C209,346,222
C210,383,147
C211,188,195
C212,235,238
C213,121,163
C215,227,148
C216,149,121
C217,313,207
C218,304,184
C219,162,208
C220,156,140
C221,238,190
C222,136,180
C223,357,237
C224,400,248
C225,326,169
C226,152,171
C227,280,284
C228,275,180
C229,193,99
C230,196,192
C231,317,145
C232,303,187
C233,252,202
C235,174,137
C236,213,116
C237,307,174
C238,314,239
C239,505,293
Total:,69180,66798
