Precinct,Eddings,Burch
C101,80,568
C102,96,357
C103,118,442
C104,79,360
C105,9,327
C106,181,795
C108,68,632
C109,32,261
C110,19,451
C111,31,823
C113,57,221
C115,179,722
C122,152,361
C123,128,236
C124,259,501
C125,76,417
C126,100,540
C128,55,95
C129,202,646
C130,14,41
C131,119,231
C133,294,570
C134,204,395
C135,199,375
C136,131,262
C137,194,374
C138,127,264
C139,11,10
C141,122,295
C142,102,393
C143,61,67
C144,34,32
C145,64,97
C146,0,0
C147,0,1
C148,11,19
C149,8,2
C150,6,3
C151,7,16
