Precinct,Jones,Fletcher,Kolb
C102,123,92,144
C103,168,126,147
C122,96,90,233
C123,83,74,133
C124,163,122,351
C125,138,136,121
C126,176,176,138
C128,41,25,57
C129,176,139,384
C130,7,8,25
C131,81,71,116
C135,141,113,213
C136,98,78,152
C137,120,115,211
C138,98,53,175
C144,9,11,37
C151,8,0,11
D101,132,97,112
D104,159,122,160
D106,154,104,226
D108,185,118,336
D109,83,45,112
D110,141,116,130
D114,164,87,279
D115,223,174,304
D117,202,115,196
D129,113,83,81
D130,141,120,258
D131,88,100,161
D132,336,203,407
D135,131,130,187
D139,213,177,344
D144,114,65,123
E139,164,116,114
E141,104,65,74
E143,142,97,154
E158,145,56,187
E159,111,53,125
E169,362,106,348
G103,122,49,219
G104,111,40,194
G106,167,34,199
G107,216,46,204
G108,120,38,185
G109,281,54,270
G111,122,43,338
G112,187,87,545
G116,203,65,439
G117,291,83,507
G119,125,16,239
G120,133,32,301
G121,145,25,291
G122,101,16,240
G123,70,11,125
G124,258,78,373
G126,98,38,306
G129,63,25,59
G140,169,56,171
G141,210,52,183
G142,91,12,40
G143,246,68,361
G144,256,33,271
G145,358,56,391
G146,187,63,408
G147,184,60,345
G148,70,40,156
G149,105,47,138
G150,130,41,96
G151,83,40,201
G154,132,102,253
G155,161,140,261
G156,387,54,124
G157,280,99,358
G158,296,71,246
G159,0,0,0
G160,128,51,129
G161,177,22,194
G162,54,7,19
G163,148,77,131
G164,310,141,295
G165,129,46,112
G166,36,23,60
G167,86,55,125
G168,22,6,27
G169,132,26,65
H113,113,37,108
H157,5,1,10
L118,479,123,166
L134,239,68,102
L135,221,52,123
L136,217,78,256
L138,170,41,133
L139,296,84,281
L146,227,73,274
L151,194,84,96
L152,87,48,70
M137,140,57,170
M138,294,84,314
M150,81,45,58
M162,57,27,101
M163,57,19,94
M164,11,3,4
M165,0,0,0
M175,0,0,0
N125,371,79,128
N126,345,44,53
N130,299,168,174
N131,472,49,59
N146,230,60,87
