Precinct,Wherry,Huff,Brockoff,Fitzgerald,Axtell
AB,230,282,254,208,195
A101,116,130,130,108,94
A102,93,132,128,92,84
A103,158,175,177,141,124
A104,60,65,70,64,52
A105,67,104,87,90,74
A106,144,159,161,129,109
A107,137,167,165,139,141
A108,214,250,228,217,160
A109,163,156,148,146,97
A110,120,132,112,122,84
A111,153,160,129,151,95
A112,118,147,131,135,91
A113,122,145,120,137,104
A114,120,127,111,126,92
A115,135,160,143,172,107
A116,140,143,140,164,98
A117,165,198,162,207,127
A118,103,130,99,93,55
A119,117,102,88,82,60
A120,154,136,127,103,92
A121,157,143,159,114,92
A122,220,215,278,181,147
A123,146,138,170,132,130
A124,199,221,195,232,147
